CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL503584	523011	CHEMBL503584	523011		36aq	554.6	4.73	178.74	2	CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4occc4CO	2294854	IC50	=	.15	nM	9.82	IC50	=	.15	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	545888	CHEMBL1035204	B	Inhibition of factor 10a	1	Scientific Literature				Intermediate	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	8	Homologous protein			46966	CHEMBL1137759	19409795	Bioorg. Med. Chem.	2009	17	11	3934					
CHEMBL364284	328609	CHEMBL364284	328609		328609	453.88	2.66	88.18	0	Fc1cc(ccc1N2CCOCC2=O)N3C[C@H](CNC(=O)c4ccc(Cl)s4)OC3=O	16914055	IC50	=	.222	nM	9.65	IC50	=	.000000000222	M	Interpretation: Specific Binding		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640187	CHEMBL3885767	B	Biochemical assay using fluorogenic peptide substrate.Step 1: Compound transfer to plate (50 nl).Step 2: Dilute FXa in Assay Buffer.Step 3: Dilute substrate in Assay Buffer.Step 4: Add equal volumes to Assay plate (total assay volume 10 uL).Step 5: Centrifuge plate, 1 min, 1000 rpm.Step 6: Detect fluorescence signal: ex: 320 nm; Em. 405 nm (EnVision), every 10 min. 60 min pre-incubation of enzyme with compound and 45 min reaction time after substrate addition.	30	K4DD Project	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	102446	CHEMBL3885741											
CHEMBL3091527	1605888	CHEMBL3091527	1605888		23	583.13	2.41	125.12	1	CCc1c(cccc1S(=O)(=O)N[C@@H](CNC(=O)c2ccc(Cl)s2)C(=O)N3CCOC[C@@H]3C)N4CCCC4=O	13843658	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1277819	CHEMBL3097585	B	Inhibition of human coagulation factor 10a using S-2765 as substrate measured up to 20 mins by chromogenic assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	76193	CHEMBL3091444	24175584	J. Med. Chem.	2013	56	23	9441					
CHEMBL218609	367127	CHEMBL218609	367127		41	539.47	5.77	101.42	2	CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c(c1)N4CCCCC4	2516621	IC50	<	.5	nM		IC50	<	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	499722	CHEMBL968695	B	Inhibition of Factor 10a	1	Scientific Literature				Intermediate	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	8	Homologous protein			47181	CHEMBL1138586	19297154	Bioorg. Med. Chem. Lett.	2009	19	8	2179					
CHEMBL221906	367114	CHEMBL221906	367114		4	456.33	4.78	98.18	0	CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3	2516584	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	499722	CHEMBL968695	B	Inhibition of Factor 10a	1	Scientific Literature				Intermediate	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	8	Homologous protein			47181	CHEMBL1138586	19297154	Bioorg. Med. Chem. Lett.	2009	19	8	2179					
CHEMBL515147	497426	CHEMBL515147	497426		18	529.98	4.02	116.56	1	O[C@@]1(C[C@@H](N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)Nc3ccc(cn3)N4C=CC=CC4=O)c5ccccc5	2415145	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	563985	CHEMBL956028	B	Inhibition of human Factor-10a	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	46394	CHEMBL1153922	19231206	Bioorg. Med. Chem.	2009	17	6	2501					
CHEMBL352039	270343	CHEMBL352039	270343		1	608.75	-1.06	258.13	2	NC(=N)NCCC[C@@H](NC(=O)CNC(=O)[C@@H](CCCNC(=N)N)NS(=O)(=O)Cc1ccccc1)C(=O)c2nccs2	954706	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	48972	CHEMBL663502	B	In vitro inhibitory activity against factor Xa	1	Scientific Literature				Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	8	Homologous protein			6109	CHEMBL1136598	12639567	Bioorg. Med. Chem. Lett.	2003	13	4	723					
CHEMBL194186	328610	CHEMBL194186	328610		328610	503.89	3.54	88.18	1	FC(F)(F)c1cc(ccc1N2CCOCC2=O)N3C[C@H](CNC(=O)c4ccc(Cl)s4)OC3=O	16913920	IC50	=	.57	nM	9.24	IC50	=	.00000000057	M	Interpretation: Specific Binding		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640189	CHEMBL3885769	B	Biochemical assay using fluorogenic peptide substrate.Step 1: Compound transfer to plate (50 nl).Step 2: Dilute FXa in Assay Buffer.Step 3: Dilute substrate in Assay Buffer.Step 4: Add equal volumes to Assay plate (total assay volume 10 uL).Step 5: Centrifuge plate, 1 min, 1000 rpm.Step 6: Detect fluorescence signal: ex: 320 nm; Em. 405 nm (EnVision), every 10 min. 60 min pre-incubation of enzyme with compound and 15 min reaction time after substrate addition.	30	K4DD Project	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	102446	CHEMBL3885741											
CHEMBL3960154	2169525	CHEMBL3960154	2169525		3000038	532	2.57	146.79	1	Nc1ncnc2cc(CN3C(CN(CC3=O)S(=O)(=O)c4cc5ccc(Cl)cc5s4)C(=O)O)ccc12	16913962	IC50	=	.588	nM	9.23	IC50	=	.000000000588	M	Interpretation: Specific Binding		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640189	CHEMBL3885769	B	Biochemical assay using fluorogenic peptide substrate.Step 1: Compound transfer to plate (50 nl).Step 2: Dilute FXa in Assay Buffer.Step 3: Dilute substrate in Assay Buffer.Step 4: Add equal volumes to Assay plate (total assay volume 10 uL).Step 5: Centrifuge plate, 1 min, 1000 rpm.Step 6: Detect fluorescence signal: ex: 320 nm; Em. 405 nm (EnVision), every 10 min. 60 min pre-incubation of enzyme with compound and 15 min reaction time after substrate addition.	30	K4DD Project	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	102446	CHEMBL3885741											
CHEMBL3972799	2182170	CHEMBL3972799	2182170		3000054	486.96	3.35	100.21	0	CCO[C@@H]1C[C@@H](N(C1)C(=O)Nc2ccc(Cl)cc2)C(=O)Nc3ccc(cc3)N4CCOCC4=O	16913701	IC50	=	.642	nM	9.19	IC50	=	.000000000642	M	Interpretation: Specific Binding		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640193	CHEMBL3885773	B	Biochemical assay using fluorogenic peptide substrate.Step 1: Compound transfer to plate (50 nl).Step 2: Dilute FXa in Assay Buffer.Step 3: Dilute substrate in Assay Buffer.Step 4: Add equal volumes to Assay plate (total assay volume 10 uL).Step 5: Centrifuge plate, 1 min, 1000 rpm.Step 6: Detect fluorescence signal: ex: 320 nm; Em. 405 nm (EnVision), every 10 min. 30 min pre-incubation of enzyme with compound and 15 min reaction time after substrate addition.	30	K4DD Project	Homo sapiens		9606	Autocuration	BAO_0000357	194	CHEMBL244	SINGLE PROTEIN	P00742	Coagulation factor X	Homo sapiens	9	Protein	Trypsin	high	102446	CHEMBL3885741											
