CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL549	14367	CHEMBL549	14367	CITALOPRAM	citalopram	324.4	3.81	36.26	0	CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3	1523704	IC50	=	3981.07	nM	5.4	pIC50	=	5.4				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL196431	325943	CHEMBL196431	325943		EDDP	277.41	4.6	3.24	0	C\C=C/1\N(C)C(C)CC1(c2ccccc2)c3ccccc3	1523842	IC50	=	50118.72	nM	4.3	pIC50	=	4.3				0	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL12713	10813	CHEMBL12713	10813	SERTINDOLE	Sertindole	440.95	4.63	40.51	0	Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25	1523558	IC50	=	10	nM	8	pIC50	=	8				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL473	5638	CHEMBL473	5638	DOFETILIDE	Dofetilide	441.58	1.98	104.81	0	CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2	1523555	IC50	=	10	nM	8	pIC50	=	8				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL607	22528	CHEMBL607	22528	MEPERIDINE	Meperidine	247.34	2.21	29.54	0	CCOC(=O)C1(CCN(C)CC1)c2ccccc2	1523678	IC50	=	323.59	nM	6.49	pIC50	=	6.49				0	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL11	605	CHEMBL11	605	IMIPRAMINE	Imipramine	280.42	3.88	6.48	0	CN(C)CCCN1c2ccccc2CCc3ccccc13	1523698	IC50	=	3388.44	nM	5.47	pIC50	=	5.47				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL71	6216	CHEMBL71	6216	CHLORPROMAZINE	chlorpromazine	318.87	4.89	6.48	0	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	1523687	IC50	=	1479.11	nM	5.83	pIC50	=	5.83				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL708	33664	CHEMBL708	33664	ZIPRASIDONE	Ziprasidone	412.95	3.81	48.47	0	Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45	1523567	IC50	=	120.23	nM	6.92	pIC50	=	6.92				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL629	27072	CHEMBL629	27072	AMITRIPTYLINE	Amitriptyline	277.41	4.17	3.24	0	CN(C)CCC=C1c2ccccc2CCc3ccccc13	1523711	IC50	=	10000	nM	5	pIC50	=	5				1	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
CHEMBL1088	148004	CHEMBL1088	148004	MESORIDAZINE	Mesoridazine	386.59	4.9	23.55	0	CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-]	1523681	IC50	=	549.54	nM	6.26	pIC50	=	6.26				0	BAO_0000199			307245	CHEMBL829152	B	Inhibitory concentration against potassium channel HERG	1	Scientific Literature				Expert	BAO_0000357	165	CHEMBL240	SINGLE PROTEIN	Q12809	HERG	Homo sapiens	8	Homologous protein			20472	CHEMBL1139598	15911273	Bioorg. Med. Chem. Lett.	2005	15	11	2886					
